10,5,20,1000,2,0.9,0.9,3,-2.94444,1,0.01,0.01,0.01
10,1000,20,1000,2,0.9,0.9,3,-2.94444,1,0.01,0.01,0.01
10,1000,20,1000,2,0.9,0.9,3,-1.7346,1,0.01,0.01,0.01
10,1000,20,1000,2,0.9,0.9,3,-1.09861,1,0.01,0.01,0.01
10,1000,20,1000,2,0.9,0.9,3,-0.619039,1,0.01,0.01,0.01
10,1000,20,1000,2,0.9,0.9,3,-0.200671,1,0.01,0.01,0.01
10,1000,20,1000,2,0.9,0.9,3,0.200671,1,0.01,0.01,0.01
10,1000,20,1000,2,0.9,0.9,3,0.619039,1,0.01,0.01,0.01
10,1000,20,1000,2,0.9,0.9,3,1.09861,1,0.01,0.01,0.01
10,1000,20,1000,2,0.9,0.9,3,1.7346,1,0.01,0.01,0.01
10,1000,20,1000,2,0.9,0.9,3,2.94444,1,0.01,0.01,0.01